STATION,NAME,DATE,TAVG
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/1/2017,87
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/2/2017,87
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/3/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/4/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/5/2017,86
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/6/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/7/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/8/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/9/2017,86
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/10/2017,86
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/11/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/12/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/13/2017,77
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/14/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/15/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/16/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/17/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/18/2017,86
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/19/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/20/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/21/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/22/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/23/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/24/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/25/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/26/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/27/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/28/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/29/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/30/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",1/31/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/1/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/2/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/3/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/4/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/5/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/6/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/7/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/8/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/9/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/10/2017,79
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/11/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/12/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/13/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/14/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/15/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/16/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/17/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/18/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/19/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/20/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/21/2017,82
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/22/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/23/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/24/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/25/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/26/2017,78
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/27/2017,80
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",2/28/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/1/2017,84
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/2/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/3/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/4/2017,83
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/5/2017,85
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/6/2017,81
BRM00083746,"GALEAO ANTONIO CARLOS JOBIM, BR",3/7/2017,79
