"STATION","NAME","DATE","TMAX","TMIN"
"NOE00134634","LEINSTRAND, NO","2017-01-01",,
"NOE00134634","LEINSTRAND, NO","2017-01-02",,
"NOE00134634","LEINSTRAND, NO","2017-01-03",,
"NOE00134634","LEINSTRAND, NO","2017-01-04",,
"NOE00134634","LEINSTRAND, NO","2017-01-05",,
"NOE00134634","LEINSTRAND, NO","2017-01-06",,
"NOE00134634","LEINSTRAND, NO","2017-01-07",,
"NOE00134634","LEINSTRAND, NO","2017-01-08",,
"NOE00134634","LEINSTRAND, NO","2017-01-09",,
"NOE00134634","LEINSTRAND, NO","2017-01-10",,
"NOE00134634","LEINSTRAND, NO","2017-01-11",,
"NOE00134634","LEINSTRAND, NO","2017-01-12",,
"NOE00134634","LEINSTRAND, NO","2017-01-13",,
"NOE00134634","LEINSTRAND, NO","2017-01-14",,
"NOE00134634","LEINSTRAND, NO","2017-01-15",,
"NOE00134634","LEINSTRAND, NO","2017-01-16",,
"NOE00134634","LEINSTRAND, NO","2017-01-17",,
"NOE00134634","LEINSTRAND, NO","2017-01-18",,
"NOE00134634","LEINSTRAND, NO","2017-01-19",,
"NOE00134634","LEINSTRAND, NO","2017-01-20",,
"NOE00134634","LEINSTRAND, NO","2017-01-21",,
"NOE00134634","LEINSTRAND, NO","2017-01-22",,
"NOE00134634","LEINSTRAND, NO","2017-01-23",,
"NOE00134634","LEINSTRAND, NO","2017-01-24",,
"NOE00134634","LEINSTRAND, NO","2017-01-25",,
"NOE00134634","LEINSTRAND, NO","2017-01-26",,
"NOE00134634","LEINSTRAND, NO","2017-01-27",,
"NOE00134634","LEINSTRAND, NO","2017-01-28",,
"NOE00134634","LEINSTRAND, NO","2017-01-29",,
"NOE00134634","LEINSTRAND, NO","2017-01-30",,
"NOE00134634","LEINSTRAND, NO","2017-01-31",,
"NOE00134634","LEINSTRAND, NO","2017-02-01",,
"NOE00134634","LEINSTRAND, NO","2017-02-02",,
"NOE00134634","LEINSTRAND, NO","2017-02-03",,
"NOE00134634","LEINSTRAND, NO","2017-02-04",,
"NOE00134634","LEINSTRAND, NO","2017-02-05",,
"NOE00134634","LEINSTRAND, NO","2017-02-06",,
"NOE00134634","LEINSTRAND, NO","2017-02-07",,
"NOE00134634","LEINSTRAND, NO","2017-02-08",,
"NOE00134634","LEINSTRAND, NO","2017-02-09",,
"NOE00134634","LEINSTRAND, NO","2017-02-10",,
"NOE00134634","LEINSTRAND, NO","2017-02-11",,
"NOE00134634","LEINSTRAND, NO","2017-02-12",,
"NOE00134634","LEINSTRAND, NO","2017-02-13",,
"NOE00134634","LEINSTRAND, NO","2017-02-14",,
"NOE00134634","LEINSTRAND, NO","2017-02-15",,
"NOE00134634","LEINSTRAND, NO","2017-02-16",,
"NOE00134634","LEINSTRAND, NO","2017-02-17",,
"NOE00134634","LEINSTRAND, NO","2017-02-18",,
"NOE00134634","LEINSTRAND, NO","2017-02-19",,
"NOE00134634","LEINSTRAND, NO","2017-02-20",,
"NOE00134634","LEINSTRAND, NO","2017-02-21",,
"NOE00134634","LEINSTRAND, NO","2017-02-22",,
"NOE00134634","LEINSTRAND, NO","2017-02-23",,
"NOE00134634","LEINSTRAND, NO","2017-02-24",,
"NOE00134634","LEINSTRAND, NO","2017-02-25",,
"NOE00134634","LEINSTRAND, NO","2017-02-26",,
"NOE00134634","LEINSTRAND, NO","2017-02-27",,
"NOE00134634","LEINSTRAND, NO","2017-02-28",,
"NOE00134634","LEINSTRAND, NO","2017-03-01",,
"NOE00134634","LEINSTRAND, NO","2017-03-02",,
"NOE00134634","LEINSTRAND, NO","2017-03-03",,
"NOE00134634","LEINSTRAND, NO","2017-03-04",,
"NOE00134634","LEINSTRAND, NO","2017-03-05",,
"NOE00134634","LEINSTRAND, NO","2017-03-06",,
"NOE00134634","LEINSTRAND, NO","2017-03-07",,
